,price,year,manufacturer,condition,odometer,type,group
3176,12995,2007.0,toyota,excellent,91000.0,pickup,1
3177,7150,2007.0,gmc,like new,140000.0,SUV,2
3204,24500,2016.0,jeep,excellent,40250.0,SUV,2
3207,5800,2008.0,honda,good,123000.0,mini-van,2
3208,6495,2007.0,volvo,excellent,142000.0,SUV,1
3209,11875,2015.0,mini,excellent,58000.0,hatchback,1
3210,12900,2016.0,subaru,good,80342.0,SUV,1
3212,9600,2013.0,subaru,good,96300.0,wagon,1
3214,21995,2018.0,gmc,excellent,32998.0,van,2
3215,0,2019.0,nissan,excellent,4358.0,sedan,1
3230,11995,2016.0,hyundai,excellent,30605.0,sedan,2
3231,14995,2013.0,toyota,excellent,145622.0,pickup,1
3232,27995,2015.0,gmc,excellent,43480.0,pickup,2
3234,14995,2016.0,toyota,excellent,92211.0,hatchback,1
3235,15995,2013.0,toyota,excellent,94116.0,mini-van,1
3237,11495,2008.0,bmw,excellent,67617.0,convertible,3
3238,6495,2005.0,chevrolet,good,92064.0,truck,3
3239,15995,2011.0,chevrolet,good,86676.0,pickup,3
3240,19495,2016.0,subaru,excellent,89815.0,wagon,1
3241,22995,2015.0,toyota,excellent,89449.0,pickup,1
3243,7995,2008.0,subaru,good,168720.0,wagon,1
3244,17500,2007.0,gmc,good,48000.0,truck,2
3248,23995,2016.0,dodge,excellent,49579.0,coupe,3
3249,14995,2016.0,hyundai,excellent,35994.0,sedan,2
3250,5500,2010.0,subaru,good,150284.0,SUV,1
3251,18495,2016.0,subaru,excellent,18300.0,SUV,1
3252,19495,2015.0,subaru,excellent,16500.0,wagon,1
3253,14995,2016.0,nissan,excellent,38002.0,sedan,1
3254,7995,2013.0,ford,good,160000.0,SUV,2
3255,13995,2017.0,ford,excellent,64743.0,SUV,2
3256,7995,2008.0,ford,good,118000.0,van,2
3259,14995,2004.0,ford,excellent,47068.0,convertible,2
3260,29995,2016.0,ford,excellent,36670.0,pickup,2
3261,20995,2013.0,jeep,excellent,79423.0,SUV,2
3265,24995,2015.0,jeep,excellent,50793.0,SUV,2
3266,700,2001.0,chevrolet,good,207458.0,sedan,3
3267,14998,2009.0,toyota,excellent,130630.0,truck,1
3268,17998,2017.0,volkswagen,excellent,31557.0,SUV,1
3269,17998,2012.0,ford,excellent,96998.0,truck,2
3270,13998,2016.0,mazda,excellent,24870.0,sedan,1
3271,12998,2009.0,ram,excellent,100929.0,truck,1
3273,13998,2016.0,nissan,excellent,24365.0,sedan,1
3274,16598,2016.0,nissan,excellent,28024.0,SUV,1
3275,23998,2016.0,mercedes-benz,excellent,48400.0,sedan,1
3276,12998,2017.0,volkswagen,excellent,57078.0,sedan,1
3277,9998,2008.0,nissan,excellent,128037.0,SUV,1
3278,7998,2010.0,nissan,excellent,117369.0,SUV,1
3279,8998,2006.0,nissan,excellent,128188.0,SUV,1
3280,6998,2007.0,audi,excellent,101669.0,convertible,3
3282,16998,2011.0,nissan,excellent,74097.0,truck,1
3283,13998,2016.0,mazda,excellent,24849.0,sedan,1
3284,20998,2014.0,honda,excellent,83313.0,truck,2
3285,10998,2013.0,dodge,excellent,84894.0,van,3
3286,12998,2014.0,toyota,excellent,96035.0,truck,1
3287,18998,2012.0,ram,excellent,79284.0,truck,1
3288,24998,2016.0,audi,excellent,34900.0,SUV,3
3289,7495,2014.0,ford,good,174000.0,SUV,2
3290,7998,2012.0,nissan,excellent,62445.0,hatchback,1
3291,15998,2014.0,honda,excellent,83736.0,SUV,2
3294,12000,2009.0,bmw,excellent,96500.0,coupe,3
3296,21998,2016.0,bmw,excellent,27549.0,sedan,3
3297,20998,2015.0,jeep,excellent,52822.0,SUV,2
3298,19998,2011.0,ram,excellent,88901.0,truck,1
3300,16998,2016.0,nissan,excellent,47081.0,SUV,1
3301,14998,2019.0,nissan,excellent,5.0,sedan,1
3302,14998,2019.0,nissan,excellent,2175.0,sedan,1
3303,13998,2013.0,bmw,excellent,94770.0,SUV,3
3304,9998,2013.0,nissan,excellent,95752.0,SUV,1
3305,8998,2013.0,dodge,excellent,72304.0,sedan,3
3306,14998,2019.0,nissan,excellent,5.0,sedan,1
3307,19598,2018.0,dodge,excellent,37589.0,van,3
3309,21998,2016.0,bmw,excellent,27549.0,sedan,3
3310,18598,2018.0,dodge,excellent,35314.0,van,3
3311,15998,2016.0,nissan,excellent,47081.0,SUV,1
3313,26998,2016.0,rover,excellent,42258.0,SUV,1
